'ATP1B1','CDCA4','CLIC4','CNDP2','CRYZ','GATA3','GLRX','HOMER2','HSD17B11','IGFBP3','MTA1','PAX8','PROS1','SCYL3','SFN','SGCB','SLC37A4','SPDEF','SPP1','TFAP2A','TNIP1','USP7','XBP1','ZNF395','GAPDH',Class
40.457,7.4786,60.135,98.873,25.86,269.06,7.7303,9.1293,5.8082,64.557,21.278,0.18927,1.762,5.3044,16.933,10.63,9.4681,95.57,255.06,23.756,35.099,57.384,1253.9,18.969,2289.7,BRCA
8.6014,1.7083,80.048,32.632,10.018,2.7965,21.824,0.8675,28.445,93.637,12.902,0.4912,17.992,3.3517,3.998,33.986,4.4752,0.28115,36.052,0.49058,149.85,21.737,45.04,15.556,465.21,BRCA
7.0098,4.9114,59.178,71.183,14.185,268.37,3.8308,13.876,4.359,18.756,13.32,0.63622,3.5887,6.5578,24.896,6.2258,9.5434,107.69,33.503,49.082,28.41,42.944,1426.3,6.9218,1003,BRCA
133.2,7.9796,144.56,34.582,6.5399,14.587,7.8253,29.349,4.7973,53.545,18.218,0.040018,8.5867,7.5189,29.918,9.9938,18.022,7.1505,289.7,49.764,30.547,21.346,69.717,16.601,1174.8,BRCA
13.082,2.6838,107.18,48.607,11.529,0.99108,29.631,1.3636,35.545,72.194,14.664,1.3933,23.858,3.2583,4.8061,20.917,6.7668,0.027251,35.366,0.13738,83.145,19.267,46.449,14.665,629.3,BRCA
159.71,6.4122,48.023,61.636,21.033,145.99,26.494,4.7326,9.282,29.162,23.935,0.87912,6.2174,7.4169,12.929,9.441,5.7544,100.17,342.97,14.744,37.668,31.082,841.16,16.091,1165.1,BRCA
58.242,6.2717,105.38,70.998,7.9328,14.099,8.2388,11.79,3.7067,98.036,12.917,0.063593,15.346,3.2428,38.48,7.6422,7.2231,0.11679,365.31,22.774,36.335,21.794,94.656,10.51,5040.6,BRCA
99.572,8.2481,146.58,77.376,9.652,0.38312,9.7035,8.4067,3.3205,13.308,17.86,0.099132,3.319,8.8943,45.071,11.388,7.3197,3.2873,240.14,34.738,34.214,26.515,69.839,25.222,3048.8,BRCA
189.26,2.3722,64.548,62.582,14.192,169.29,12.66,19.379,9.4629,27.963,10.709,0.2047,4.1913,5.5462,21.791,4.9868,8.8538,79.604,87.137,25.03,29.296,26.277,1631.1,10.585,2034.3,BRCA
7.9369,0.92189,113.86,23.448,12.325,2.7983,10.179,0.68599,30.006,93.105,10.495,1.1136,18.314,3.7225,0.12233,24.479,4.7528,0.082258,2.2369,0.085376,38.746,18.889,44.787,14.736,385.99,BRCA
139.24,5.6498,22.222,81.552,28.257,146.23,18.55,8.9109,2.9938,11.655,28.867,1.8717,2.1846,16.205,10.063,2.6433,9.9226,94.772,55.957,45.033,33.976,45.822,2697.8,21.553,666.07,BRCA
158.37,3.8506,83.343,45.137,15.292,150.08,22.389,1.8282,11.335,39.885,18.23,0.23769,7.5195,13.599,7.5353,7.1402,4.5324,67.873,95.724,46.324,28.194,43.321,1162.7,20.833,761.82,BRCA
59.512,5.5802,129.2,82.5,21.432,15.96,22.292,6.79,8.4264,83.609,9.5045,0.14879,4.7567,7.1643,73.286,5.9242,9.7274,17.384,331.57,21.52,32.017,30.134,311.71,11.702,1305.9,BRCA
84.258,3.0828,194.18,29.386,15.675,11.576,17.843,1.7249,19.236,78.782,8.3441,0.036859,16.255,7.3884,8.7908,7.6725,7.3587,18.169,714.96,23.252,17.561,27.345,255.45,5.9683,976.25,BRCA
